                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58824,                 2.0633,                0.86719,                0.01087,                0.83421,                0.61817,                0.51277,                0.54023,                 3.0506,                0.82134,             0.00054065,             0.00054065,             0.00054065
                      2,                0.58326,                 1.1491,                0.86846,                0.90466,                0.33755,                0.48254,                0.42181,                0.57541,                 2.6756,                0.86577,              0.0010855,              0.0010855,              0.0010855
                      3,                0.56971,                  1.099,                0.87749,                 0.7589,                0.78636,                0.81509,                0.69899,                0.57174,                 1.4478,                0.86452,              0.0016193,              0.0016193,              0.0016193
                      4,                0.57983,                 1.0627,                0.87632,                0.74544,                0.76076,                0.79525,                0.69545,                0.54216,                 1.3917,                0.85672,              0.0016175,              0.0016175,              0.0016175
                      5,                0.56935,                0.96804,                0.87764,                0.66681,                0.81962,                0.73724,                0.64676,                0.52618,                  1.328,                0.86623,              0.0016175,              0.0016175,              0.0016175
                      6,                0.61282,                0.95455,                0.89161,                0.82358,                0.81473,                 0.8665,                0.76131,                0.51047,                 1.2051,                0.85909,               0.001601,               0.001601,               0.001601
                      7,                0.55697,                0.84332,                0.86807,                0.61207,                0.82871,                0.72489,                0.64269,                0.50415,                 1.2438,                0.86128,              0.0015845,              0.0015845,              0.0015845
                      8,                0.57809,                0.83156,                0.87641,                 0.8427,                0.83872,                0.89956,                0.80168,                 0.4646,                0.85577,                0.84958,               0.001568,               0.001568,               0.001568
                      9,                0.53681,                0.77572,                0.86382,                0.85307,                0.84203,                0.91053,                0.81601,                0.47874,                0.97732,                0.84737,              0.0015515,              0.0015515,              0.0015515
                     10,                0.52767,                0.73993,                0.86477,                0.73235,                0.82345,                0.82113,                 0.7354,                0.47702,                0.93203,                0.84334,               0.001535,               0.001535,               0.001535
